date,state,cfpi,prob_cfpi_up_next_month,direction_signal
2026-01-01,Johor,60.45748591221674,0.10057315505359217,Stable / Decrease
2026-01-01,Kedah,60.25049209959781,0.19232757031458544,Stable / Decrease
2026-01-01,Kelantan,56.94145251890808,0.17510895000108417,Stable / Decrease
2026-01-01,Melaka,42.61595189414254,0.149608206811215,Stable / Decrease
2026-01-01,Negeri Sembilan,68.95371168002767,0.1210277863012744,Stable / Decrease
2026-01-01,Pahang,70.19244333248652,0.13002319149587507,Stable / Decrease
2026-01-01,Perak,49.678605208060056,0.5223496505682184,Stable / Decrease
2026-01-01,Perlis,51.69117877895806,0.13827233000807151,Stable / Decrease
2026-01-01,Pulau Pinang,60.53761636130645,0.1798741763180712,Stable / Decrease
2026-01-01,Sabah,60.30329080316891,0.10477661627908755,Stable / Decrease
2026-01-01,Sarawak,71.93108853168059,0.053148450068135254,Stable / Decrease
2026-01-01,Selangor,50.759792196229576,0.1032418456443685,Stable / Decrease
2026-01-01,Terengganu,46.195132590397776,0.13505443499544226,Stable / Decrease
2026-01-01,W.P. Kuala Lumpur,62.690336138846334,0.052540964340069544,Stable / Decrease
2026-01-01,W.P. Labuan,69.16448459822675,0.1583433780713385,Stable / Decrease
2026-01-01,W.P. Putrajaya,62.17315506009149,0.21856291902554859,Stable / Decrease
