date,state,cfpi,prob_cfpi_up_next_month,direction_signal
2026-01-01,Johor,60.59337686619397,0.0950709082615792,Stable / Decrease
2026-01-01,Kedah,60.417405275333515,0.18613760225847573,Stable / Decrease
2026-01-01,Kelantan,57.08246066618662,0.1687910920040361,Stable / Decrease
2026-01-01,Melaka,42.75426581811735,0.1445127620900111,Stable / Decrease
2026-01-01,Negeri Sembilan,69.09101220639657,0.11512100572179386,Stable / Decrease
2026-01-01,Pahang,70.3349996647884,0.12454651291844149,Stable / Decrease
2026-01-01,Perak,49.82135629320915,0.5145191459113161,Stable / Decrease
2026-01-01,Perlis,51.8425380500034,0.13395593192315938,Stable / Decrease
2026-01-01,Pulau Pinang,60.695184420966044,0.17237679841206058,Stable / Decrease
2026-01-01,Sabah,60.439575933926285,0.10165785202510765,Stable / Decrease
2026-01-01,Sarawak,72.06592943007553,0.05027098238885952,Stable / Decrease
2026-01-01,Selangor,50.89851124454908,0.09765015174909797,Stable / Decrease
2026-01-01,Terengganu,46.331015853392245,0.13091752197996195,Stable / Decrease
2026-01-01,W.P. Kuala Lumpur,62.8373244717354,0.049580975435711334,Stable / Decrease
2026-01-01,W.P. Labuan,69.31621737700543,0.15390552292132417,Stable / Decrease
2026-01-01,W.P. Putrajaya,62.335150968487675,0.20952600792588089,Stable / Decrease
