,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
105,2024-01-25,2.05,3.47,2.15,,level,,2.15
106,2024-01-18,2.05,3.47,2.15,,level,,2.15
107,2024-01-11,2.05,3.47,2.15,,level,,2.15
108,2024-01-04,2.05,3.47,2.15,,level,,2.15
109,2023-12-28,2.05,3.47,2.15,,level,,2.15
110,2023-12-21,2.05,3.47,2.15,,level,,2.15
111,2023-12-14,2.05,3.47,2.15,,level,,2.15
112,2023-12-07,2.05,3.47,2.15,,level,,2.15
113,2023-11-30,2.05,3.47,2.15,,level,,2.15
114,2023-11-23,2.05,3.47,2.15,,level,,2.15
115,2023-11-16,2.05,3.47,2.15,,level,,2.15
116,2023-11-09,2.05,3.47,2.15,,level,,2.15
117,2023-11-02,2.05,3.47,2.15,,level,,2.15
118,2023-10-26,2.05,3.47,2.15,,level,,2.15
119,2023-10-19,2.05,3.47,2.15,,level,,2.15
120,2023-10-12,2.05,3.37,2.15,,level,,2.15
121,2023-10-05,2.05,3.37,2.15,,level,,2.15
122,2023-09-28,2.05,3.37,2.15,,level,,2.15
123,2023-09-21,2.05,3.37,2.15,,level,,2.15
124,2023-09-14,2.05,3.37,2.15,,level,,2.15
125,2023-09-07,2.05,3.37,2.15,,level,,2.15
126,2023-08-31,2.05,3.37,2.15,,level,,2.15
127,2023-08-24,2.05,3.37,2.15,,level,,2.15
128,2023-08-17,2.05,3.37,2.15,,level,,2.15
129,2023-08-10,2.05,3.37,2.15,,level,,2.15
130,2023-08-03,2.05,3.37,2.15,,level,,2.15
131,2023-07-27,2.05,3.37,2.15,,level,,2.15
132,2023-07-20,2.05,3.37,2.15,,level,,2.15
133,2023-07-13,2.05,3.37,2.15,,level,,2.15
134,2023-07-06,2.05,3.37,2.15,,level,,2.15
135,2023-06-29,2.05,3.37,2.15,,level,,2.15
136,2023-06-22,2.05,3.37,2.15,,level,,2.15
137,2023-06-15,2.05,3.37,2.15,,level,,2.15
138,2023-06-08,2.05,3.37,2.15,,level,,2.15
139,2023-06-01,2.05,3.37,2.15,,level,,2.15
140,2023-05-25,2.05,3.35,2.15,,level,,2.15
141,2023-05-18,2.05,3.35,2.15,,level,,2.15
142,2023-05-11,2.05,3.35,2.15,,level,,2.15
143,2023-05-04,2.05,3.35,2.15,,level,,2.15
144,2023-04-27,2.05,3.35,2.15,,level,,2.15
145,2023-04-20,2.05,3.35,2.15,,level,,2.15
146,2023-04-13,2.05,3.35,2.15,,level,,2.15
147,2023-04-06,2.05,3.35,2.15,,level,,2.15
148,2023-03-30,2.05,3.35,2.15,,level,,2.15
149,2023-03-23,2.05,3.35,2.15,,level,,2.15
150,2023-03-16,2.05,3.35,2.15,,level,,2.15
151,2023-03-09,2.05,3.35,2.15,,level,,2.15
152,2023-03-02,2.05,3.35,2.15,,level,,2.15
153,2023-02-23,2.05,3.35,2.15,,level,,2.15
154,2023-02-16,2.05,3.35,2.15,,level,,2.15
155,2023-02-09,2.05,3.35,2.15,,level,,2.15
156,2023-02-02,2.05,3.35,2.15,,level,,2.15
157,2023-01-26,2.05,3.35,2.15,,level,,2.15
158,2023-01-19,2.05,3.35,2.15,,level,,2.15
159,2023-01-12,2.05,3.35,2.15,,level,,2.15
160,2023-01-05,2.05,3.35,2.15,,level,,2.15
161,2022-12-29,2.05,3.35,2.15,,level,,2.15
162,2022-12-22,2.05,3.35,2.15,,level,,2.15
163,2022-12-15,2.05,3.55,2.15,,level,,2.15
164,2022-12-08,2.05,3.75,2.15,,level,,2.15
165,2022-12-01,2.05,3.85,2.15,,level,,2.15
166,2022-11-24,2.05,3.95,2.15,,level,,2.15
167,2022-11-17,2.05,3.95,2.15,,level,,2.15
168,2022-11-10,2.05,3.95,2.15,,level,,2.15
