date,financial_stress,income_job_anxiety,cost_of_living
2021-01-24,0.3194444444444445,0.06149425287356322,0.19465201465201465
2021-01-31,0.0,0.12011494252873564,0.1782967032967033
2021-02-07,0.0,0.08362068965517241,0.19890109890109892
2021-02-14,0.0,0.09224137931034482,0.16950549450549451
2021-02-21,0.0,0.13448275862068965,0.1895820845820846
2021-02-28,0.0,0.13448275862068965,0.2098901098901099
2021-03-07,0.0,0.09511494252873563,0.2032967032967033
2021-03-14,0.0,0.15373563218390804,0.14972527472527472
2021-03-21,0.0,0.18160919540229886,0.14313186813186812
2021-03-28,0.0,0.13448275862068965,0.1404029304029304
2021-04-04,0.0,0.15948275862068967,0.13214285714285715
2021-04-11,0.0,0.35660919540229885,0.1344871794871795
2021-04-18,0.0,0.16522988505747127,0.1300915750915751
2021-04-25,0.0,0.09798850574712643,0.13736263736263737
2021-05-02,0.0,0.07011494252873564,0.08296703296703296
2021-05-09,0.0,0.052873563218390804,0.044780219780219774
2021-05-16,0.0,0.07298850574712644,0.07197802197802197
2021-05-23,0.0,0.10373563218390805,0.12197802197802199
2021-05-30,0.0,0.10373563218390805,0.1581135531135531
2021-06-06,0.0,0.06149425287356322,0.19615384615384618
2021-06-13,0.0,0.075,0.12637362637362637
2021-06-20,0.0,0.08649425287356322,0.09038461538461538
2021-06-27,0.2962962962962963,0.10660919540229885,0.1493223443223443
2021-07-04,0.0,0.12586206896551724,0.11538461538461538
2021-07-11,0.0,0.10086206896551723,0.110989010989011
2021-07-18,0.0,0.017241379310344827,0.0815934065934066
2021-07-25,0.0,0.11235632183908045,0.110989010989011
2021-08-01,0.0,0.11235632183908045,0.1265201465201465
2021-08-08,0.0,0.1267241379310345,0.10879120879120878
2021-08-15,0.0,0.375,0.110989010989011
2021-08-22,0.0,0.10086206896551723,0.13985347985347985
2021-08-29,0.2733333333333333,0.09224137931034482,0.13545787545787544
2021-09-05,0.0,0.07011494252873564,0.16485347985347984
2021-09-12,0.0,0.022988505747126436,0.035989010989010986
2021-09-19,0.0,0.09224137931034482,0.09932234432234432
2021-09-26,0.0,0.08160919540229886,0.0837912087912088
2021-10-03,0.0,0.02586206896551724,0.08598901098901099
2021-10-10,0.0,0.13160919540229887,0.04038461538461539
2021-10-17,0.0,0.09224137931034482,0.06265567765567766
2021-10-24,0.0,0.02586206896551724,0.07417582417582418
2021-10-31,0.0,0.020114942528735632,0.07197802197802197
2021-11-07,0.0,0.10373563218390805,0.09644688644688644
2021-11-14,0.0,0.12873563218390804,0.07871794871794871
2021-11-21,0.0,0.12586206896551724,0.23216117216117213
2021-11-28,0.0,0.15660919540229884,0.31840659340659344
2021-12-05,0.0,0.09511494252873563,0.13586080586080587
2021-12-12,0.0,0.17011494252873563,0.035989010989010986
2021-12-19,0.0,0.17873563218390803,0.06318681318681318
2021-12-26,0.0,0.13735632183908048,0.09038461538461538
2022-01-02,0.0,0.2295977011494253,0.11758241758241758
2022-01-09,0.0,0.17385057471264367,0.14644688644688644
2022-01-16,0.0,0.1795977011494253,0.20412087912087912
2022-01-23,0.0,0.1910919540229885,0.21608058608058606
2022-01-30,0.0,0.13160919540229887,0.11758241758241758
2022-02-06,0.0,0.20172413793103447,0.09478021978021978
2022-02-13,0.0,0.2074712643678161,0.06758241758241759
2022-02-20,0.0,0.17097701149425287,0.07637362637362637
2022-02-27,0.0,0.1574712643678161,0.11690476190476189
2022-03-06,0.0,0.17097701149425287,0.08516483516483517
2022-03-13,0.0,0.20459770114942527,0.11168498168498169
2022-03-20,0.0,0.1795977011494253,0.1300915750915751
2022-03-27,0.0,0.2074712643678161,0.13888278388278388
2022-04-03,0.0,0.18247126436781608,0.11690476190476189
2022-04-10,0.0,0.19310344827586207,0.10811355311355311
2022-04-17,0.0,0.12873563218390804,0.07871794871794871
2022-04-24,0.0,0.17385057471264367,0.12417582417582418
2022-05-01,0.0,0.11436781609195402,0.035989010989010986
2022-05-08,0.0,0.2410919540229885,0.12487179487179487
2022-05-15,0.0,0.17385057471264367,0.21058608058608058
2022-05-22,0.0,0.1632183908045977,0.207014652014652
2022-05-29,0.0,0.2103448275862069,0.17047619047619045
2022-06-05,0.0,0.21810344827586206,0.10274725274725274
2022-06-12,0.0,0.17672413793103448,0.16525641025641025
2022-06-19,0.0,0.18247126436781608,0.2925008325008325
2022-06-26,0.0,0.2189655172413793,0.46445720945720953
2022-07-03,0.0,0.18908045977011495,0.23998168498168498
2022-07-10,0.0,0.2574712643678161,0.12706959706959706
2022-07-17,0.0,0.2295977011494253,0.1234981684981685
2022-07-24,0.0,0.18247126436781608,0.19327838827838825
2022-07-31,0.0,0.22672413793103446,0.08750915750915751
2022-08-07,0.0,0.2353448275862069,0.08750915750915751
2022-08-14,0.0,0.23247126436781607,0.08668498168498168
2022-08-21,0.0,0.16522988505747127,0.11705128205128205
2022-08-28,0.0,0.20172413793103447,0.13697802197802197
2022-09-04,0.0,0.21522988505747126,0.12584249084249083
2022-09-11,0.6481481481481481,0.19597701149425287,0.09424908424908425
2022-09-18,0.0,0.1267241379310345,0.10591575091575092
2022-09-25,0.0,0.31896551724137934,0.14864468864468866
2022-10-02,0.0,0.14310344827586208,0.0831135531135531
2022-10-09,0.0,0.11810344827586207,0.06485347985347985
2022-10-16,0.0,0.24281609195402298,0.11924908424908424
2022-10-23,0.0,0.19971264367816094,0.10371794871794873
2022-10-30,0.0,0.19971264367816094,0.12144688644688643
2022-11-06,0.0,0.20459770114942527,0.09205128205128206
2022-11-13,0.0,0.16235632183908047,0.05152014652014651
